Filename,def_10_15_percent
76f769f6-acf9-43a9-a17c-eb493d498254___RS_HL 7444,12.600242653804
7702ce9b-81f9-4ece-ba58-af88e1d3b3fe___RS_HL 4715,11.9870473947601
7709cc6f-6462-4892-b63a-dc6d95ff8267___RS_HL 6776,12.1269158375908
7727dd52-e294-4d4f-af5a-d0a2b092bf64___RS_HL 5441,10.3217889282792
7735ac53-15f5-4a18-99d8-4594174d6e0e___RS_HL 5717,13.0812533737758
773b27dd-15ac-4d62-80e8-623b6571888d___RS_HL 2983,12.2647958265875
774e7a9f-b384-48ff-a642-9e9b7bcc98f8___RS_HL 5070,11.1831299859221
77577ccb-2301-46c0-a23e-35142a2e9681___RS_HL 7152,11.4635562358157
7760e915-a52e-41a7-8e7c-23bd1935ef16___RS_HL 6649,14.3152480839048
778831a8-1955-4e68-a7ea-fb98f42f2410___RS_HL 4767,14.0246816405701
778eac45-19fd-4c26-96ff-ca5af8892777___RS_HL 4191,11.1900597580528
779e834c-7c2e-4815-b8d4-55ff2889c395___RS_HL 5283,13.9489785683239
77a69469-4de3-4ed1-bb3b-3e3e28f60169___RS_HL 5809,12.7358490566038
77ad7ff7-d93a-4373-bc1b-5da91fe1c311___RS_HL 3420,14.7310238447201
77af3800-3846-4572-8609-9db62dc8c494___RS_HL 2945,11.6896769219987
77c8a3bb-6b84-4f91-88b2-a6d43deb028e___RS_HL 7137,12.0931756875993
77dd4e53-80a4-4203-96ec-9b19208a59b7___RS_HL 6071,10.1172733935988
77f865f7-703f-452d-a62d-8339e9011167___RS_HL 5577,14.2384184264668
780a96d7-52a0-4c0b-8ffc-7f7fcc5ebe79___RS_HL 6539,10.0953585676754
780f3ce5-a7d9-4e28-a8b7-6b542983e21b___RS_HL 5606 1,11.7397972792745
78124c72-a0de-4449-b0ce-33f94bc523b1___RS_HL 6707,10.3341483292584
782617a1-1915-42d9-b0d0-e975ec92d380___RS_HL 7346,14.8609594759489
78277b4a-19d9-4deb-a9ec-3e54da86ace2___RS_HL 4552,10.1870840832043
7828195b-7ce7-47c1-a808-ec77006a508f___RS_HL 6133,10.7175022515761
7832e76a-e419-4dbf-a422-416d0e251df5___RS_HL 7159,13.7667709603861
7836db5a-39a2-4187-a80a-d2152e288ccd___RS_HL 5868,13.2622442653441
7837a732-fb16-4459-9970-7f3c1c085d92___RS_HL 3435,10.0918370830631
783ce998-9d07-465b-8aa5-00a748f303b6___RS_HL 7376,11.2443684946404
